"","X.1","X","time","DOYtime","flux","soilT_T","VSM_T","doy","DAMM14","predict14"
"787",787,787,"2014-06-03 02",154.10139,177.814,13.42,0.24,154,83.5288932073554,86.6274942779223
"788",788,788,"2014-06-03 03",154.144096666667,149.218333333333,13.2666666666667,0.24,154,82.1836933579428,85.179583662357
"789",789,789,"2014-06-03 04",154.186806,140.32,13.14,0.24,154,81.0877330448875,83.9834835886286
"790",790,790,"2014-06-03 05",154.22639,160.958,13.02,0.24,154,80.0620618870735,82.8503361503598
"791",791,791,"2014-06-03 06",154.269096666667,152.743333333333,12.8666666666667,0.24,154,78.7691153107788,81.4024255347945
"792",792,792,"2014-06-03 07",154.311806,141.076,12.8,0.24,154,78.2130713304475,80.7728991802005
"793",793,793,"2014-06-03 08",154.35139,160.456,12.72,0.24,154,77.5506591455534,80.017467554688
"794",794,794,"2014-06-03 09",154.394096666667,131.786666666667,12.8,0.24,154,78.2130713304475,80.7728991802005
"795",795,795,"2014-06-03 10",154.436806,108.354,12.98,0.24,154,79.7228735126794,82.4726203376036
"796",796,796,"2014-06-03 11",154.475693333333,179.483333333333,13.2333333333333,0.24,154,81.893949017582,84.8648204850595
"797",797,797,"2014-06-03 12",154.519096666667,141.696666666667,13.5833333333333,0.23,154,80.4270128250571,83.5909355587804
"798",798,798,"2014-06-03 13",154.5616325,128.5875,13.95,0.23,154,83.6013873372523,87.0533305090463
"799",799,799,"2014-06-03 14",154.6033,158.3825,14.25,0.23,154,86.2852335695195,89.8861991047182
"800",800,800,"2014-06-03 15",154.64815,140.866666666667,14.5333333333333,0.23,154,88.89366352858,92.5616861117412
"801",801,801,"2014-06-03 16",154.686806,160.16,14.66,0.23,154,90.0834420640149,93.7577861854697
"802",802,802,"2014-06-03 17",154.72917,136.58,14.7666666666667,0.23,154,91.0968768687741,94.76502835282
"803",803,803,"2014-06-03 18",154.769096666667,156.285,14.8833333333333,0.23,154,92.2175053330901,95.8666994733584
"804",804,804,"2014-06-03 19",154.811806,145.398,14.9,0.23,154,92.3786418337909,96.0240810620071
"805",805,805,"2014-06-03 20",154.85139,182.022,14.86,0.23,154,91.9923550945591,95.6463652492509
"806",806,806,"2014-06-03 21",154.897916,192.494,14.78,0.23,154,91.2243020764029,94.8909336237384
"807",807,807,"2014-06-03 22",154.9366325,155.88,14.65,0.23,154,89.9889742709038,93.6633572322806
"808",808,808,"2014-06-03 23",154.9783,188.42,14.525,0.23,154,88.8159053637834,92.4829953174173
"809",809,809,"2014-06-04 00",155.019096666667,193.6,14.3833333333333,0.231666666666667,155,88.3581812879794,91.9084015285548
"810",810,810,"2014-06-04 01",155.0616325,183.3575,14.275,0.255,155,97.973576916332,101.569517207431
"811",811,811,"2014-06-04 02",155.1033,176.2975,14.225,0.26,155,99.4118592669426,103.386821585434
"812",812,812,"2014-06-04 03",155.1458325,192.4675,14.1,0.25,155,94.1471881006469,97.6275613826746
"813",813,813,"2014-06-04 04",155.1866325,161.795,14.05,0.25,155,93.6525894953566,97.1554166167294
"814",814,814,"2014-06-04 05",155.2283,192.115,13.95,0.25,155,92.6706636393379,96.2111270848387
"815",815,815,"2014-06-04 06",155.275463333333,172.643333333333,13.8666666666667,0.25,155,91.8597457503324,95.4242191415969
"816",816,816,"2014-06-04 07",155.3116325,146.21,13.775,0.25,155,90.9753930670876,94.5586204040302
"817",817,817,"2014-06-04 08",155.3533,146.845,13.7,0.25,155,90.2577530216668,93.8504032551122
"818",818,818,"2014-06-04 09",155.3958325,153.7625,13.6,0.25,155,89.3091222878771,92.9061137232216
"819",819,819,"2014-06-04 10",155.436806,171.39,13.58,0.25,155,89.1205171336865,92.7172558168434
"820",820,820,"2014-06-04 11",155.47639,181.968,13.52,0.25,155,88.5569313777914,92.1506820977091
"821",821,821,"2014-06-04 12",155.5191,132.44,13.6,0.24,155,85.1342766653999,88.3272154353254
